Store,Demand Estimation (Pellets)  
Countdown Airport,6.708333333
Countdown Auckland City,7.291666667
Countdown Aviemore Drive,7.083333333
Countdown Birkenhead,7.375
Countdown Blockhouse Bay,6.375
Countdown Botany Downs,7.416666667
Countdown Browns Bay,7.5
Countdown Glenfield,6.625
Countdown Greenlane,7.541666667
Countdown Grey Lynn,7.666666667
Countdown Grey Lynn Central,7.833333333
Countdown Hauraki Corner,6.791666667
Countdown Henderson,7.291666667
Countdown Highland Park,6.833333333
Countdown Hobsonville,8.166666667
Countdown Howick,8.125
Countdown Kelston,7.458333333
Countdown Lincoln Road,7.75
Countdown Lynfield,7.375
Countdown Lynmall,6.458333333
Countdown Mairangi Bay,7.833333333
Countdown Mangere East,7.208333333
Countdown Mangere Mall,6.583333333
Countdown Manukau,7.291666667
Countdown Manukau Mall,7.583333333
Countdown Manurewa,7.291666667
Countdown Meadowbank,7.375
Countdown Meadowlands,7.291666667
Countdown Metro Albert Street,4.25
Countdown Metro Halsey Street,3.85
Countdown Milford,7.458333333
Countdown Mt Eden,7.166666667
Countdown Mt Roskill,7.375
Countdown Mt Wellington,7.75
Countdown Newmarket,6.791666667
Countdown Northcote,6.958333333
Countdown Northwest,7.125
Countdown Onehunga,7.041666667
Countdown Pakuranga,6.833333333
Countdown Papakura,6.75
Countdown Papatoetoe,7.75
Countdown Ponsonby,7.75
Countdown Pt Chevalier,7.583333333
Countdown Roselands,7.916666667
Countdown St Johns,6.583333333
Countdown St Lukes,6.375
Countdown Sunnynook,7.625
Countdown Sylvia Park,7.416666667
Countdown Takanini,7.416666667
Countdown Takapuna,6.833333333
Countdown Te Atatu,6.958333333
Countdown Te Atatu South,7.166666667
Countdown Three Kings,8.208333333
Countdown Victoria Street West,8.5
Countdown Westgate,7.708333333
FreshChoice Glen Eden,4.1
FreshChoice Half Moon Bay,4.6
FreshChoice Mangere Bridge,4.6
FreshChoice Otahuhu,3.75
FreshChoice Ranui,4.75
SuperValue Avondale,4.45
SuperValue Flatbush,4.65
SuperValue Palomino,4.85
SuperValue Papakura,4.75
SuperValue Titirangi,4.35
